City,ZipCode,admname1,adm1,adm2,placename,Clown_Name,Clown_Na_1,Country
COLCHESTER,6415,Connecticut,CT,New London,Colchester,PEPPERMINT PATTI,PEPPERMINT PATTI,USA
COLFAX,50054,Iowa,IA,Jasper,Colfax,HANDLE BAR,HANDLE BAR,USA
COLLEGE PARK,30331,Georgia,GA,Fulton,Atlanta,PHONICS THE CLOWN,PHONICS THE CLOWN,USA
COLLEGE POINT,11356,New York,NY,Queens,College Point,CIDO THE CLOWN,CIDO THE CLOWN,USA
COLLEGEVILLE,19426,Pennsylvania,PA,Montgomery,Collegeville,DIMPLES,DIMPLES,USA
COLLEYVILLE,76034,Texas,TX,Tarrant,Colleyville,DUSTY BREECHES,DUSTY BREECHES,USA
COLONA,61241,Illinois,IL,Henry,Colona,JAY J,JAY JAY,USA
COLONIA,7067,New Jersey,NJ,Middlesex,Colonia,HAPPY,HAPPY,USA
COLONIAL HEIGHTS,23834,Virginia,VA,Colonial Heights (city,Colonial Heights,B.C.,B.C.,USA
COLONIAL HEIGHTS,23834,Virginia,VA,Colonial Heights (city,Colonial Heights,DOC,DOC,USA
COLORADO SPRINGS,80933,Colorado,CO,El Paso,Colorado Springs,SUGAR BABE,SUGAR BABE,USA
COLTS NECK,7722,New Jersey,NJ,Monmouth,Colts Neck,SPARKLES,SPARKLES,USA
COLTS NECK,7722,New Jersey,NJ,Monmouth,Colts Neck,VAPPO,VAPPO,USA
COLUMBIA,6237,Connecticut,CT,Tolland,Columbia,NIC-NAC,NIC-NAC,USA
COLUMBIA,21045,Maryland,MD,Howard,Columbia,PATCHES THE CLOWN,PATCHES THE CLOWN,USA
COLUMBIA,21044,Maryland,MD,Howard,Columbia,SWEATHEART,SWEATHEART,USA
COLUMBIA,29221,South Carolina,SC,Richland,Columbia,SPARKLES,SPARKLES,USA
COLUMBIA,29223,South Carolina,SC,Richland,Columbia,LAVENDER LADY,LAVENDER LADY,USA
COLUMBIA,21045,Maryland,MD,Howard,Columbia,PATCHES THE CLOWN,PATCHES THE CLOWN,
COLUMBIA,21044,Maryland,MD,Howard,Columbia,SWEATHEART,SWEATHEART,
COLUMBIA HTS,55921,Minnesota,MN,Houston,Caledonia,KOKO,KOKO,USA
COLUMBUS,59019,Montana,MT,Stillwater,Columbus,PEPPE,PEPPE,USA
COLUMBUS,47203,Indiana,IN,Bartholomew,Columbus,BUFF PHOON,BUFF PHOON,USA
COLUMBUS,47203,Indiana,IN,Bartholomew,Columbus,LOON E. LOO,LOON E. LOO,USA
COLUMBUS,47203,Indiana,IN,Bartholomew,Columbus,DING-A-LING,DING-A-LING,USA
COLUMBUS,43227,Ohio,OH,Franklin,Columbus,MITZI,MITZI,USA
COLUMBUS,43227,Ohio,OH,Franklin,Columbus,FRITZI,FRITZI,USA
COLUMBUS,43212,Ohio,OH,Franklin,Columbus,BLOSSOM,BLOSSOM,USA
COLUMBUS,43231,Ohio,OH,Franklin,Columbus,BLUBOO,BLUBOO,USA
COLUMBUS,43228,Ohio,OH,Franklin,Columbus,ABC MOTHER McGOOSE,ABC MOTHER McGOOSE,USA
COLUMBUS,43228,Ohio,OH,Franklin,Columbus,ROWDY ROD,ROWDY ROD,USA
COLUMBUS,43204,Ohio,OH,Franklin,Columbus,QUEENIE,QUEENIE,USA
COMFORT,78013,Texas,TX,Kendall,Comfort,SHORTY,SHORTY,USA
COMMERCE TOWNSHIP,48382,Michigan,MI,Oakland,Commerce Township,GERTIE,GERTIE,USA
COMMERCE TOWNSHIP,48382,Michigan,MI,Oakland,Commerce Township,NEON,NEON,USA
CONCORD,3301,New Hampshire,NH,Merrimack,Concord,GUS,GUS,USA
CONCORD,94521,California,CA,Contra Costa,Concord,BUBBLEE,BUBBLEE,USA
CONNERSVILLE,47331,Indiana,IN,Fayette,Connersville,VIVA,VIVA,USA
CONSHOHOCKEN,19428,Pennsylvania,PA,Montgomery,Conshohocken,FRECKLES,FRECKLES,USA
CONVERSE,78109,Texas,TX,Bexar,Converse,BUBEE B BULBENIK,BUBEE B BULBENIK,USA
CONWAY,72032,Arkansas,AR,Faulkner,Conway,MISS CONNIE,MISS CONNIE,USA
CONWAY,29527,South Carolina,SC,Horry,Conway,JIMBO THE CLOWN,JIMBO THE CLOWN,USA
CONYERS,30094,Georgia,GA,Rockdale,Conyers,JAKE,JAKE,USA
COOLIDGE,76635,Texas,TX,Limestone,Coolidge,BUBBA,BUBBA,USA
COOLVILLE,45723,Ohio,OH,Athens,Coolville,WHUGHY,WHUGHY,USA
COOS BAY,97420,Oregon,OR,Coos,Coos Bay,HOWIE DIDDIT,HOWIE DIDDIT,USA
COPLAY,18037,Pennsylvania,PA,Lehigh,Coplay,AUNT BIPPY THE CLOWN,AUNT BIPPY THE CLOWN,USA
COPLAY,18037,Pennsylvania,PA,Lehigh,Coplay,POKEY DOTTIE,POKEY DOTTIE,USA
COPPELL,75019,Texas,TX,Dallas,Coppell,RUTHIE MAE,RUTHIE MAE,USA
COPPELL,75019,Texas,TX,Dallas,Coppell,JEEPERS,JEEPERS,USA
CORAL,15731,Pennsylvania,PA,Indiana,Coral,LOIE,LOIE,USA
CORALVILLE,52241,Iowa,IA,Johnson,Coralville,BABALOON,BABALOON,USA
CORDOVA,38088,Tennessee,TN,Shelby,Cordova,SINGSONG,SINGSONG,USA
CORDOVA,38018,Tennessee,TN,Shelby,Cordova,DAISY,DAISY,USA
CORINTH,76210,Texas,TX,Denton,Denton,NUTT-MEGG,NUTT-MEGG,USA
CORONA,92883,California,CA,Riverside,Corona,AUNT CLOWNEY,AUNT CLOWNEY,USA
CORPUS CHRISTI,78415,Texas,TX,Nueces,Corpus Christi,POKEY JOE,POKEY JOE,USA
CORPUS CHRISTI,78415,Texas,TX,Nueces,Corpus Christi,YOO-HOO,YOO-HOO,USA
CORPUS CHRISTI,78410,Texas,TX,Nueces,Corpus Christi,POKEY,POKEY,USA
CORPUS CHRISTI,78415,Texas,TX,Nueces,Corpus Christi,BINGO,BINGO,USA
CORPUS CHRISTI,78415,Texas,TX,Nueces,Corpus Christi,LANKY,LANKY,USA
CORPUS CHRISTI,78410,Texas,TX,Nueces,Corpus Christi,SUGARFOOT,SUGARFOOT,USA
CORPUS CHRISTI,78410,Texas,TX,Nueces,Corpus Christi,LOLLA-POP,LOLLA-POP,USA
CORPUS CHRISTI,78411,Texas,TX,Nueces,Corpus Christi,DUCKO,DUCKO,USA
CORRALES,87048,New Mexico,NM,Sandoval,Corrales,NEE CEE,NEE CEE,USA
CORRALES,87048,New Mexico,NM,Sandoval,Corrales,UNCLE NICK,UNCLE NICK,USA
CORRALES,87048,New Mexico,NM,Sandoval,Corrales,BEEBEE,BEE BEE,USA
CORRALES,87048,New Mexico,NM,Sandoval,Corrales,KARLEE KLOWN,KARLEE KLOWN,USA
CORVALLIS,97333,Oregon,OR,Benton,Corvallis,,,USA
COUNCIL BLUFFS,51503,Iowa,IA,Pottawattamie,Council Bluffs,POLKA DOT,POLKA DOT,USA
COUNTRYSIDE,60525,Illinois,IL,Cook,La Grange,PUDDLES TEE CLOWN,PUDDLES TEE CLOWN,USA
COVENTRY,2816,Rhode Island,RI,Kent,Coventry,COOKY,COOKY,USA
COVENTRY,2816,Rhode Island,RI,Kent,Coventry,GABBY,GABBY,USA
COVINGTON,98042,Washington,WA,King,Kent,RAGS,RAGS,USA
CRANESVILLE,16410,Pennsylvania,PA,Erie,Cranesville,MUFFY,MUFFY,USA
CRAWFORDSVILLE,47933,Indiana,IN,Montgomery,Crawfordsville,NONNO,NONNO,USA
CRAWFORDSVILLE,47933,Indiana,IN,Montgomery,Crawfordsville,GG,GG,USA
CRAWFORDSVILLE,47933,Indiana,IN,Montgomery,Crawfordsville,BIBO,BIBO,USA
CRAWFORDVILLE,32326,Florida,FL,Wakulla,Crawfordville,PATCHES,PATCHES,USA
CRESCENT,51526,Iowa,IA,Pottawattamie,Crescent,PEPPERMINT,PEPPERMINT,USA
CRESTLINE,44827,Ohio,OH,Crawford,Crestline,GO-GO,GO-GO,USA
CRESTVIEW,32536,Florida,FL,Okaloosa,Crestview,BUTTONS,BUTTONS,USA
CRESTVIEW,32536,Florida,FL,Okaloosa,Crestview,SUNFLOWER,SUNFLOWER,USA
CRESTWOOD,63126,Missouri,MO,St. Louis,Saint Louis,CHAR,CHAR,USA
CRESTWOOD,40014,Kentucky,KY,Oldham,Crestwood,BUB'OS,BUB'OS,USA
CROPWELL,35054,Alabama,AL,St. Clair,Cropwell,NOZEE,NOZEE,USA
